Customer_ID,Nama,Usia,Pekerjaan,Penghasilan_Bulanan_Juta,Kemampuan_Teknologi,Kebutuhan_Bisnis,Beli_Windows,Tanggal_Registrasi
CUST10000,"Tiara Hutapea, M.Pd",59,Akuntan,15.74,0.2,0.81,0,2025-09-30
CUST10001,Zelaya Mulyani,58,Hotel Staff,5.86,0.0,0.74,0,2025-06-04
CUST10002,Hj. Yessi Kuswandari,27,Dokter,26.59,0.54,0.89,1,2025-07-18
CUST10003,Hj. Cinthia Mulyani,57,Akuntan,7.9,0.92,0.28,0,2025-03-21
CUST10004,"Padma Nashiruddin, M.Farm",53,Dokter,28.0,0.52,0.84,1,2025-07-03
CUST10005,Ir. Galar Manullang,48,Engineer,15.21,0.14,0.44,0,2025-03-20
CUST10006,"Dt. Kajen Purwanti, S.Sos",32,Perawat,6.86,0.31,0.19,0,2025-03-07
CUST10007,"Jindra Mustofa, S.E.I",40,Mahasiswa,1.26,0.01,0.75,0,2025-04-30
CUST10008,"dr. Devi Nashiruddin, S.H.",37,Engineer,19.55,0.31,0.89,1,2025-09-02
CUST10009,Harsaya Rahimah,38,Hotel Staff,9.45,0.55,0.28,0,2025-01-06
CUST10010,Tira Farida,56,Programmer,6.9,0.39,0.33,0,2025-05-17
CUST10011,Ganep Setiawan,28,Peneliti,7.37,0.48,0.41,1,2025-06-27
CUST10012,Vicky Mayasari,27,Pensiunan,2.17,0.18,0.06,0,2025-06-21
CUST10013,Tgk. Galih Hastuti,25,Guru,4.58,0.16,0.6,0,2025-02-27
CUST10014,R. Makara Mahendra,54,Dosen,32.18,0.98,0.07,1,2025-08-23
CUST10015,"Carub Handayani, S.Ked",59,Pensiunan,7.44,0.76,0.53,0,2025-06-04
CUST10016,"R. Prabowo Pranowo, M.TI.",21,Mahasiswa,2.41,0.92,0.28,0,2024-12-28
CUST10017,Amalia Utami,31,Karyawan Swasta,9.51,0.94,0.76,1,2025-10-19
CUST10018,"KH. Makara Maheswara, S.Farm",25,Freelancer,2.24,0.52,0.99,0,2025-09-04
CUST10019,Ade Fujiati,27,Designer,9.38,0.09,0.87,0,2025-02-18
CUST10020,R. Sidiq Anggriawan,64,Mahasiswa,3.16,0.76,0.11,0,2025-09-22
CUST10021,Dr. Ika Irawan,30,Akuntan,5.15,0.29,0.1,0,2024-11-24
CUST10022,Baktiono Pranowo,25,Sales,4.66,0.97,0.62,1,2024-11-27
CUST10023,Puti Azalea Suryatmi,39,Konsultan,15.42,0.01,0.25,0,2025-06-13
CUST10024,Emil Prastuti,52,Dokter,28.0,0.6,0.29,0,2024-11-24
CUST10025,Drs. Fitria Sihombing,60,Pengusaha,13.23,0.96,0.68,1,2025-01-11
CUST10026,"Elvina Samosir, S.I.Kom",50,Perawat,8.27,0.04,0.16,0,2025-08-04
CUST10027,"Zahra Nugroho, S.Ked",32,Pengusaha,17.06,0.6,0.15,0,2025-05-29
CUST10028,Putri Hardiansyah,59,Dosen,31.88,0.93,0.16,0,2025-11-19
CUST10029,Tgk. Diah Pertiwi,18,Blogger,18.66,0.78,0.32,1,2025-11-15
CUST10030,Catur Sihotang,39,Peneliti,5.42,0.25,0.65,0,2025-06-11
CUST10031,Dr. Jabal Winarsih,27,Designer,5.29,0.31,0.22,0,2025-08-05
CUST10032,R.A. Puput Siregar,36,Dokter,11.67,0.09,0.6,0,2025-07-28
CUST10033,Cemani Maheswara,27,Akuntan,11.89,0.42,0.82,1,2025-07-01
CUST10034,Parman Santoso,62,Pensiunan,3.75,0.32,0.58,0,2025-01-03
CUST10035,Ghaliyati Maulana,47,Wiraswasta,2.61,0.38,0.9,0,2025-09-22
CUST10036,Prayogo Widodo,47,YouTuber,20.98,0.8,0.82,1,2024-11-24
CUST10037,Zulfa Nasyidah,61,YouTuber,18.34,0.7,0.8,1,2025-06-15
CUST10038,"Kayun Permata, S.Pt",63,Arsitek,10.78,0.32,0.8,0,2025-11-10
